,Place Name,Place ID,Latitude,Longitude,local_area
47,Sangrouse,ChIJy94FWT2LOxARcXVRWekIvxU,6.450579,3.399566,"F92X+6R Lagos Island, Nigeria"
48,Maja Bus Stop,ChIJMx4Z2CSLOxARoOcOQZ_JQyM,6.448986,3.406872,"CCX4+HP Lagos Island, Nigeria"
49,Passport Office,ChIJp5iVIDOLOxARkXnxtrU_Zmc,6.452331000000001,3.418523,"FC29+WC Ikoyi, Nigeria"
50,Secretariat,ChIJb6PH6cz0OxARtXRdhTLGGkg,6.453125,3.420887,"FC3C+69 Ikoyi, Nigeria"
51,Tom Jones,ChIJv9aIEw2LOxARJ0iBHAbh24o,6.458762000000001,3.387823,"F95Q+G4 Lagos Island, Nigeria"
52,Idumota,ChIJX96Q_XKLOxARFyDIl3F37X4,6.462663000000001,3.386823,"F97P+3P Lagos Island, Nigeria"
53,Idumagbo,ChIJL_ffEA2LOxARDaCstYqFevI,6.458703000000001,3.387555,"F95Q+F2 Lagos Island, Nigeria"
54,TBS BRT,ChIJ47h2QSKLOxARSsE_VlAAu-c,6.446002999999999,3.40081,"CCW2+C8 Lagos Island, Nigeria"
55,BRT Bus Station,ChIJdfydaiKLOxARGonC0NszhQw,6.4459766,3.4007835,"CCW2+98 Lagos Island, Nigeria"
56,Breadfruit Street,ChIJM8EjwA2LOxARE9RXJjlFthc,6.456354999999999,3.388004999999999,"F94Q+G6 Lagos Island, Nigeria"
57,Tinubu,ChIJTffg3hGLOxARTFgcAxfsfcQ,6.453541,3.389458,"F93Q+CQ Lagos Island, Nigeria"
58,"Nsik Motors Limited (Aktc), Ojuelegba",ChIJUfyQkEaMOxARBYOvDbpts74,6.510032000000001,3.3623336,"G966+2W Lagos, Nigeria"
59,Dolphin Gate,ChIJYWvUoTeLOxARR3OkvYoyHvI,6.457813000000001,3.41074,"FC56+47 Ikoyi, Nigeria"
60,Inner Marina/CMS,ChIJxS1XSj6LOxARbRaxl4laBuA,6.457511999999999,3.400762,"FC52+28 Lagos, Nigeria"
61,Adeniji Adele Bus Stop,ChIJ_UHHgWyLOxARLTqX-nAxMaA,6.462838000000001,3.394257,"F97V+4P Lagos Island, Nigeria"
62,Sura Bus Stop,ChIJ90BqHz2LOxARPFL9GK1GFpA,6.45111,3.401666,"FC22+CM Lagos Island, Nigeria"
63,Obalende Park,ChIJDUpwsDqLOxARod3MFKQoj-M,6.450294,3.408722999999999,"FC25+4F Ikoyi, Nigeria"
64,Obalende,ChIJn0heLSWLOxAR1sM60pUPHh0,6.449595999999999,3.407559,"CCX5+R2 Lagos Island, Nigeria"
65,Radio Bus Stop,ChIJO-Z5iDGLOxARifmRSriOehM,6.451606,3.414387,"FC27+JQ Ikoyi, Nigeria"
66,Glover Street,ChIJ-4LgrheLOxARsyUG1fgufL0,6.451914999999999,3.397248,"F92W+QV Lagos Island, Nigeria"
67,Sangrouse,ChIJy94FWT2LOxARcXVRWekIvxU,6.450579,3.399566,"F92X+6R Lagos Island, Nigeria"
68,Maja Bus Stop,ChIJMx4Z2CSLOxARoOcOQZ_JQyM,6.448986,3.406872,"CCX4+HP Lagos Island, Nigeria"
69,Passport Office,ChIJp5iVIDOLOxARkXnxtrU_Zmc,6.452331000000001,3.418523,"FC29+WC Ikoyi, Nigeria"
70,Secretariat,ChIJb6PH6cz0OxARtXRdhTLGGkg,6.453125,3.420887,"FC3C+69 Ikoyi, Nigeria"
71,Tom Jones,ChIJv9aIEw2LOxARJ0iBHAbh24o,6.458762000000001,3.387823,"F95Q+G4 Lagos Island, Nigeria"
72,Idumota,ChIJX96Q_XKLOxARFyDIl3F37X4,6.462663000000001,3.386823,"F97P+3P Lagos Island, Nigeria"
73,Idumagbo,ChIJL_ffEA2LOxARDaCstYqFevI,6.458703000000001,3.387555,"F95Q+F2 Lagos Island, Nigeria"
74,TBS BRT,ChIJ47h2QSKLOxARSsE_VlAAu-c,6.446002999999999,3.40081,"CCW2+C8 Lagos Island, Nigeria"
75,BRT Bus Station,ChIJdfydaiKLOxARGonC0NszhQw,6.4459766,3.4007835,"CCW2+98 Lagos Island, Nigeria"
76,Breadfruit Street,ChIJM8EjwA2LOxARE9RXJjlFthc,6.456354999999999,3.388004999999999,"F94Q+G6 Lagos Island, Nigeria"
77,Tinubu,ChIJTffg3hGLOxARTFgcAxfsfcQ,6.453541,3.389458,"F93Q+CQ Lagos Island, Nigeria"
